video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
816783092,hd,1080p,video/mp4,1920,1080,1080p,25,603721828,575.75MB,https://player.vimeo.com/progressive_redirect/playback/816783092/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1056f7919dda8d71230fff07fa8a676cd978bc6024d486ce5427ff3b2e1fc577
816783092,hls,adaptive,video/mp4,,,540p,25,342473644,326.61MB,https://player.vimeo.com/external/816783092.m3u8?s=6b4790d8c3ac1c0111a96de74acd655d3b2e3436&oauth2_token_id=1643955558
816983283,hd,720p,video/mp4,1280,720,720p,25,247781925,236.3MB,https://player.vimeo.com/progressive_redirect/playback/816983283/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=978cc95674cfa8252a4c3c0192b202c26a910bc7fa695ad3e75ae44b16b2b083
816983283,sd,360p,video/mp4,640,360,360p,25,156844955,149.58MB,https://player.vimeo.com/progressive_redirect/playback/816983283/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7e40653c05a8fcfeee56006b2069c064ef79de594e34ea5cc36aff5b0e39f5d5
816983283,sd,240p,video/mp4,426,240,240p,25,128500141,122.55MB,https://player.vimeo.com/progressive_redirect/playback/816983283/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=dff2253128536e739e4f3aa937dd9cb44d42389540b7415559c51a8928c3ace5
816983283,hd,1080p,video/mp4,1920,1080,1080p,25,323765227,308.77MB,https://player.vimeo.com/progressive_redirect/playback/816983283/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=92b74715b74bdff83517ea02810346f08ee3276a66cd884396b25fb1229eab3a
816983283,sd,540p,video/mp4,960,540,540p,25,204259528,194.8MB,https://player.vimeo.com/progressive_redirect/playback/816983283/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=9fff9c5608e919abb6f7b4dc7cf3aed87b111c21aab8ef0fbfd57ac6ead43677
816983283,hls,adaptive,video/mp4,,,720p,25,247781925,236.3MB,https://player.vimeo.com/external/816983283.m3u8?s=223ee65b0526a6562eb691ef19bbcd5f0ac1cae0&oauth2_token_id=1643955558
817360726,sd,540p,video/mp4,960,540,540p,25,192988618,184.05MB,https://player.vimeo.com/progressive_redirect/playback/817360726/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a93ed9c749917a8579be12ff0db2b48a7455aa8268772ddc4a75aee320893fe2
817360726,sd,240p,video/mp4,426,240,240p,25,120530249,114.95MB,https://player.vimeo.com/progressive_redirect/playback/817360726/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e9cf3f98590165df21fb29d2f9303f056620723f7795396b56554b1d45060ca3
