video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link,created_at
887645392,sd,360p,video/mp4,640,360,360p,30,19275989,18.38MB,https://player.vimeo.com/progressive_redirect/playback/887645392/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=493ee558f2257bec13c1e4b03a745693b38e6aeb7587fac36e4b75cb7ea9d5bb,2023-11-23T13:17:32+00:00
887645392,sd,540p,video/mp4,960,540,540p,30,25795755,24.6MB,https://player.vimeo.com/progressive_redirect/playback/887645392/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=9c30ae733a9c5cb92665d7f53f48fa8c25af39d16bb5581cfc7d7145e85d04c8,2023-11-23T13:18:20+00:00
887645392,sd,240p,video/mp4,426,240,240p,30,15734181,15.01MB,https://player.vimeo.com/progressive_redirect/playback/887645392/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=4a6fed7856bba2ee4112a11ecb4e51177855c539b37a0122900f9b47916b884d,2023-11-23T13:18:27+00:00
887645392,hls,adaptive,video/mp4,,,720p,30,31512417,30.05MB,https://player.vimeo.com/external/887645392.m3u8?s=56730e0539a829a81088e71e30f5b1f02be46359&oauth2_token_id=1643955558,2023-11-23T13:17:52+00:00
887663008,sd,240p,video/mp4,426,240,240p,30.00663129973475,313125391,298.62MB,https://player.vimeo.com/progressive_redirect/playback/887663008/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fbaa5af9e85f50e26b14fd774d64254723f555df80a2bef95c325148c13f1ebf,2023-11-23T16:33:20+00:00
887663008,hd,720p,video/mp4,1280,720,720p,30.00663129973475,2382681016,2.22GB,https://player.vimeo.com/progressive_redirect/playback/887663008/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c47cd7a14aa20c55ad6a9d1e8f9a6bce6f3380e2c85e8384524e1447857eed2f,2023-11-23T16:34:28+00:00
887663008,sd,540p,video/mp4,960,540,540p,30.00663129973475,1526092555,1.42GB,https://player.vimeo.com/progressive_redirect/playback/887663008/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=48876b257c99e405c6f170a34715d2a733f07fd08e0e6501de7368e0c185a5ac,2023-11-23T16:33:28+00:00
887663008,sd,360p,video/mp4,640,360,360p,30.00663129973475,550085492,524.6MB,https://player.vimeo.com/progressive_redirect/playback/887663008/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=aa0cd58ab137a386c310aeddf393958d2744e5d502c71fcc015f5bfce954485b,2023-11-23T16:33:26+00:00
887663008,hls,adaptive,video/mp4,,,240p,30.00663129973475,313125391,298.62MB,https://player.vimeo.com/external/887663008.m3u8?s=c56ceb6af8af206390d9a6639ee426f39a2f0881&oauth2_token_id=1643955558,2023-11-23T16:33:20+00:00
888414880,hd,720p,video/mp4,1280,720,720p,30,918327746,875.79MB,https://player.vimeo.com/progressive_redirect/playback/888414880/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d02a738be62d56f6d4693704c72a4ce6f1f244a7852c39492522d560198ccc10,2023-11-26T13:56:57+00:00
888414880,sd,240p,video/mp4,426,240,240p,30,198300354,189.11MB,https://player.vimeo.com/progressive_redirect/playback/888414880/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=6c013a40077c7e147a481f1f51da561b518866b31cdd1408a99594726681609b,2023-11-26T13:56:15+00:00
888414880,sd,360p,video/mp4,640,360,360p,30,316098278,301.45MB,https://player.vimeo.com/progressive_redirect/playback/888414880/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=b851f59259656bb16b13258995cc345d660716b7b3cccc762e945769153ade1a,2023-11-26T13:56:51+00:00
888414880,sd,540p,video/mp4,960,540,540p,30,558046598,532.19MB,https://player.vimeo.com/progressive_redirect/playback/888414880/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=0b972d6b15c54983fca539c05d4cc269368aba8c2a4b6a901e71f7855bfd9cee,2023-11-26T13:58:24+00:00
888414880,hls,adaptive,video/mp4,,,720p,30,918327746,875.79MB,https://player.vimeo.com/external/888414880.m3u8?s=4c48afc98964a5f1db5ed786eb304adafd427b81&oauth2_token_id=1643955558,2023-11-26T13:56:57+00:00
888421812,sd,240p,video/mp4,426,240,240p,30,15191913,14.49MB,https://player.vimeo.com/progressive_redirect/playback/888421812/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d112f9624bac5a455ec40ded608c69434d857bee4a4c4efbc249c838f50ec07d,2023-11-26T14:38:07+00:00
888421812,hd,720p,video/mp4,1280,720,720p,30,28276635,26.97MB,https://player.vimeo.com/progressive_redirect/playback/888421812/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=868d477bd2b1a39aead69324b110c7a5148b8d280ab8f9331a9f1ab506f69e5c,2023-11-26T14:38:32+00:00
888421812,sd,540p,video/mp4,960,540,540p,30,23235629,22.16MB,https://player.vimeo.com/progressive_redirect/playback/888421812/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c3b79cf2316fd3964acac613be6356e7647ab0cdca9c361fea0f7e699906db39,2023-11-26T14:37:56+00:00
888421812,sd,360p,video/mp4,640,360,360p,30,18068285,17.23MB,https://player.vimeo.com/progressive_redirect/playback/888421812/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=654d26ae4151875397e89178a01ed95f11e5b6de41642d4b227e5c74d8006e16,2023-11-26T14:38:05+00:00
888421812,hls,adaptive,video/mp4,,,240p,30,15191913,14.49MB,https://player.vimeo.com/external/888421812.m3u8?s=55121c7495e1e640358da81ae9da09c4d5385adf&oauth2_token_id=1643955558,2023-11-26T14:38:07+00:00
886092826,hd,1080p,video/mp4,1920,1080,1080p,30,210100439,200.37MB,https://player.vimeo.com/progressive_redirect/playback/886092826/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=39406aabb90a7ada8dcd428e92ff78a15a56ef39ae4f320e8fc47e8d41d3057b,2023-11-19T13:19:00+00:00
886092826,hd,720p,video/mp4,1280,720,720p,30,153348211,146.24MB,https://player.vimeo.com/progressive_redirect/playback/886092826/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=6857a75fa0d76bd63218471b397562cea0b407a315117d6ce71083772a2245c6,2023-11-19T13:15:58+00:00
886092826,sd,240p,video/mp4,426,240,240p,30,81712544,77.93MB,https://player.vimeo.com/progressive_redirect/playback/886092826/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2472111947821ccf33ec6fef176794dfb6a307cec914dba9707fd759f6d45588,2023-11-19T13:15:55+00:00
886092826,sd,540p,video/mp4,960,540,540p,30,126948486,121.07MB,https://player.vimeo.com/progressive_redirect/playback/886092826/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=376a3104659ff08b54ab58cfd068293d8437cf54140dcf9f076236ddf4a788cd,2023-11-19T13:15:51+00:00
886092826,sd,360p,video/mp4,640,360,360p,30,99234596,94.64MB,https://player.vimeo.com/progressive_redirect/playback/886092826/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a9c30cf000ed33fff984aa7828b172523097f67b0cd40cce1ef79825eef669e7,2023-11-19T13:15:33+00:00
886092826,hls,adaptive,video/mp4,,,1080p,30,210100439,200.37MB,https://player.vimeo.com/external/886092826.m3u8?s=40e17c8a3c28a048b250ce3faece2bbdeeec393f&oauth2_token_id=1643955558,2023-11-19T13:19:00+00:00
886355650,sd,540p,video/mp4,960,540,540p,30,63958341,61MB,https://player.vimeo.com/progressive_redirect/playback/886355650/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=6d3cfb305225a27e56d644ad58de00ad760d5d087e6ae95da8eb472d9d1657ae,2023-11-20T08:08:37+00:00
886355650,hd,1080p,video/mp4,1920,1080,1080p,30,99681580,95.06MB,https://player.vimeo.com/progressive_redirect/playback/886355650/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7da813ae437804a351eeedd2a224fa2ee2de13759d53ecd28e66ea66f3c0ee1a,2023-11-20T08:10:53+00:00
886355650,hd,720p,video/mp4,1280,720,720p,30,72041207,68.7MB,https://player.vimeo.com/progressive_redirect/playback/886355650/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3379f3c92ec8355522b78334d712e9d6bb0c2a3419684900afe3254a9c24d590,2023-11-20T08:08:51+00:00
886355650,sd,360p,video/mp4,640,360,360p,30,50630068,48.28MB,https://player.vimeo.com/progressive_redirect/playback/886355650/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a0c226d3ad94c4e07ad9db46c5f678c7d3e41d9c495ebd19fc7627fca89cd5e5,2023-11-20T08:07:47+00:00
886355650,sd,240p,video/mp4,426,240,240p,30,42760420,40.78MB,https://player.vimeo.com/progressive_redirect/playback/886355650/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3610bc816b5470a53fbca91bf8b02ae01fd3fa4150f41504b2fb61f813fd07fe,2023-11-20T08:07:51+00:00
